TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,MerchantID,Channel,LoginAttempts,TransactionDuration,AccountBalance,CustomerAge,CustomerOccupation,withdrawal_ratio,transaction_hour,fraud_gmm,isolation_fraud,fraud_either,fraud_both
TX001560,AC00011,31.53,2023-12-20 17:15:14,Debit,Kansas City,D000328,M095,Online,1,283,874.93,25,Student,0.03603716868778074,17,0,0,0,0
TX002047,AC00012,94.82,2023-03-21 16:36:30,Credit,Columbus,D000123,M011,Branch,1,56,1267.72,67,Retired,0.07479569621051967,16,0,0,0,0
TX000513,AC00012,8.65,2023-06-05 17:08:37,Debit,Las Vegas,D000309,M037,Online,1,273,10778.35,48,Doctor,0.0008025347107859737,17,0,0,0,0
TX001153,AC00012,590.57,2023-06-28 16:07:37,Debit,Milwaukee,D000540,M050,ATM,1,93,3224.6,79,Retired,0.1831451963034175,16,0,0,0,0
TX000728,AC00012,137.49,2023-07-26 16:54:08,Debit,Fort Worth,D000159,M040,ATM,1,50,4471.05,34,Engineer,0.030751165833529038,16,0,0,0,0
TX002152,AC00012,927.45,2023-08-07 18:52:42,Debit,Austin,D000210,M027,ATM,1,95,1161.84,24,Student,0.7982596570956415,18,0,0,0,0
TX001510,AC00012,308.8,2023-12-26 16:08:51,Debit,Baltimore,D000256,M018,ATM,1,41,3966.54,53,Retired,0.07785122550131854,16,0,0,0,0
TX000576,AC00013,33.46,2023-02-20 16:52:03,Debit,Seattle,D000617,M003,ATM,1,111,3641.07,72,Retired,0.00918960635197895,16,0,0,0,0
TX001291,AC00013,427.69,2023-03-28 16:02:03,Debit,Raleigh,D000347,M088,ATM,1,236,2443.54,43,Engineer,0.17502885158417705,16,0,0,0,0
TX001010,AC00013,75.04,2023-07-27 17:04:46,Debit,El Paso,D000037,M056,ATM,1,178,9648.6,49,Engineer,0.007777294115208424,17,0,0,0,0
TX002156,AC00013,172.92,2023-08-28 16:56:05,Debit,Miami,D000519,M052,Online,1,212,416.37,20,Student,0.4153036962317169,16,0,0,0,0
TX000107,AC00013,114.98,2023-11-01 16:52:01,Debit,Seattle,D000182,M032,Online,1,80,6144.68,59,Retired,0.018712121705280013,16,0,0,0,0
TX001980,AC00013,422.81,2023-11-20 16:07:20,Debit,Los Angeles,D000050,M036,Branch,1,193,1929.28,28,Student,0.21915429590313484,16,0,0,0,0
TX000780,AC00013,138.11,2023-12-11 17:29:02,Credit,Phoenix,D000227,M001,Online,1,104,4177.65,68,Retired,0.03305925580170671,17,0,0,0,0
TX000578,AC00013,246.27,2023-12-27 16:48:30,Debit,Fresno,D000102,M058,Online,1,141,7299.86,29,Doctor,0.03373626343518917,16,0,0,0,0
TX002447,AC00014,719.76,2023-03-30 17:50:23,Debit,San Francisco,D000548,M038,Branch,1,190,690.52,19,Student,1.042344899496032,17,0,0,0,0
TX000375,AC00014,643.22,2023-05-03 17:04:32,Debit,Atlanta,D000248,M073,ATM,1,93,1035.86,64,Doctor,0.620952638387427,17,0,0,0,0
TX001234,AC00014,605.42,2023-06-13 16:10:27,Debit,Mesa,D000488,M085,ATM,1,33,392.34,21,Student,1.543100372126217,16,0,1,1,0
TX000520,AC00014,121.91,2023-06-26 18:39:52,Debit,Chicago,D000264,M015,Branch,1,133,14510.8,60,Doctor,0.008401328665545663,18,0,0,0,0
TX000080,AC00014,174.25,2023-07-17 18:54:31,Debit,Seattle,D000375,M032,Online,1,67,10528.34,50,Doctor,0.01655056732590323,18,0,0,0,0
TX000657,AC00014,427.0,2023-07-31 17:04:29,Credit,Oklahoma City,D000629,M065,Branch,1,163,8253.65,49,Engineer,0.05173468707783829,17,0,0,0,0
TX000022,AC00014,85.77,2023-08-11 18:31:31,Debit,Las Vegas,D000268,M065,Branch,1,93,9146.19,38,Doctor,0.009377675294302872,18,0,0,0,0
TX002124,AC00014,10.3,2023-12-07 16:59:06,Debit,Fresno,D000494,M022,ATM,1,197,7801.32,47,Engineer,0.0013202893869242642,16,0,0,0,0
TX000740,AC00014,346.65,2024-01-01 16:17:13,Debit,Washington,D000077,M062,Online,1,60,6356.96,30,Engineer,0.05453078200901059,16,0,0,0,0
TX001456,AC00015,774.48,2023-03-06 16:12:45,Debit,Louisville,D000233,M013,Branch,1,31,11613.58,61,Doctor,0.06668744693712017,16,0,0,0,0
TX001467,AC00015,73.35,2023-03-13 16:33:49,Debit,San Francisco,D000340,M093,Branch,1,47,1181.84,24,Student,0.062064238814052666,16,0,0,0,0
TX001620,AC00015,50.9,2023-04-24 16:14:34,Credit,Jacksonville,D000549,M089,Online,1,150,1277.7,28,Student,0.03983720748219457,16,0,0,0,0
TX001562,AC00015,250.01,2023-11-06 16:28:15,Debit,Kansas City,D000191,M057,ATM,1,88,1541.48,62,Retired,0.16218828658172665,16,0,0,0,0
TX001181,AC00016,50.0,2023-02-24 18:05:12,Credit,Jacksonville,D000309,M018,ATM,1,87,185.87,53,Doctor,0.2690052187012428,18,0,0,0,0
TX002335,AC00016,1105.88,2023-03-06 17:37:32,Debit,Omaha,D000159,M047,ATM,1,36,2636.32,34,Engineer,0.41947866723311283,17,0,0,0,0
TX001135,AC00016,26.27,2023-03-17 16:22:52,Credit,Portland,D000332,M027,Online,1,177,8853.93,45,Engineer,0.0029670440132235063,16,0,0,0,0
TX001592,AC00016,314.52,2023-03-20 17:21:43,Debit,Memphis,D000361,M057,ATM,1,229,7071.32,80,Retired,0.0444782586560925,17,0,0,0,0
TX001969,AC00016,705.34,2023-09-12 18:52:56,Debit,Washington,D000562,M026,Online,1,124,5003.22,59,Doctor,0.14097721067632443,18,0,0,0,0
TX001542,AC00016,69.96,2023-10-16 17:43:00,Debit,Baltimore,D000397,M060,Branch,1,31,164.12,28,Student,0.42627345844504017,17,0,0,0,0
TX001864,AC00017,103.48,2023-01-30 16:04:17,Debit,Baltimore,D000640,M095,ATM,1,33,6494.25,32,Engineer,0.015934095546059977,16,0,0,0,0
TX000952,AC00017,492.84,2023-03-01 17:43:22,Debit,Indianapolis,D000514,M081,ATM,1,38,577.67,25,Student,0.8531514532518566,17,0,0,0,0
TX001670,AC00017,261.63,2023-05-29 18:27:43,Debit,Chicago,D000622,M018,Branch,1,150,477.03,20,Student,0.5484560719451607,18,0,0,0,0
TX000971,AC00017,215.39,2023-06-21 16:23:53,Debit,Detroit,D000409,M019,ATM,1,216,1582.55,27,Student,0.13610312470380082,16,0,0,0,0
TX001337,AC00017,60.11,2023-11-27 17:39:39,Credit,Albuquerque,D000636,M067,Branch,1,122,7235.87,61,Retired,0.008307224977784288,17,0,0,0,0
TX001498,AC00018,1228.81,2023-02-20 16:36:36,Debit,San Francisco,D000381,M034,ATM,1,254,1821.0,26,Student,0.6747995606809445,16,0,0,0,0
TX001802,AC00018,331.32,2023-06-05 17:24:29,Debit,Sacramento,D000334,M078,Branch,5,137,13054.54,61,Doctor,0.02537967634248315,17,0,1,1,0
TX000102,AC00018,98.54,2023-08-11 16:18:46,Credit,El Paso,D000528,M095,Online,1,167,9383.43,20,Student,0.010501490393171794,16,0,0,0,0
TX002086,AC00019,291.46,2023-02-08 16:29:56,Debit,Miami,D000665,M046,ATM,1,135,7142.53,57,Retired,0.04080626892711686,16,0,0,0,0
TX001683,AC00019,41.13,2023-03-27 17:53:15,Credit,Philadelphia,D000655,M030,Branch,1,58,6067.54,77,Retired,0.006778694495627553,17,0,0,0,0
TX002414,AC00019,489.31,2023-04-03 16:34:10,Debit,Louisville,D000293,M089,Branch,1,36,5595.22,43,Engineer,0.08745143175782186,16,0,0,0,0
TX000003,AC00019,126.29,2023-07-10 18:16:08,Debit,Mesa,D000235,M009,Online,1,56,1122.35,19,Student,0.11252283155878293,18,0,0,0,0
TX001326,AC00020,359.65,2023-01-12 17:58:56,Credit,Jacksonville,D000133,M085,Online,1,289,219.53,25,Student,1.6382726734387099,17,0,1,1,0
TX001830,AC00020,91.77,2023-03-15 17:39:11,Debit,Omaha,D000504,M042,Branch,1,174,9240.73,51,Doctor,0.009931033587173307,17,0,0,0,0
TX000404,AC00020,353.82,2023-04-10 17:57:59,Debit,Milwaukee,D000043,M035,ATM,1,143,705.75,42,Doctor,0.5013390010626992,17,0,0,0,0
TX002028,AC00020,28.52,2023-06-02 16:54:12,Debit,Detroit,D000700,M021,ATM,1,163,662.51,20,Student,0.043048406816500885,16,0,0,0,0
TX000206,AC00020,288.04,2023-08-24 16:47:21,Debit,Denver,D000582,M092,ATM,1,63,1748.02,68,Retired,0.16478072333268498,16,0,0,0,0
TX001259,AC00020,603.23,2023-08-24 17:34:13,Debit,Detroit,D000238,M017,Branch,1,48,117.98,28,Student,5.112985251737583,17,0,1,1,0
TX001715,AC00020,589.64,2023-09-21 16:05:38,Debit,Charlotte,D000443,M050,Online,1,210,2039.4,62,Retired,0.2891242522310483,16,0,0,0,0
TX002170,AC00020,592.24,2023-10-16 16:49:07,Debit,Tucson,D000201,M034,ATM,1,140,9817.05,52,Doctor,0.060327695183379944,16,0,0,0,0
TX001139,AC00020,881.1,2023-11-13 16:46:06,Debit,Phoenix,D000309,M093,Branch,1,16,9951.68,28,Student,0.08853781472073056,16,0,0,0,0
TX001821,AC00021,263.59,2023-01-23 16:03:04,Debit,Dallas,D000333,M052,Branch,1,16,6996.35,71,Retired,0.037675359294489265,16,0,0,0,0
TX002112,AC00021,762.74,2023-05-02 17:24:54,Debit,Los Angeles,D000196,M053,ATM,1,244,207.1,64,Doctor,3.682955094157412,17,0,1,1,0
TX002126,AC00021,416.55,2023-05-05 17:31:53,Debit,Oklahoma City,D000430,M038,Online,1,73,922.96,33,Engineer,0.45131966715784,17,0,0,0,0
TX000382,AC00021,180.24,2023-07-03 17:03:48,Debit,Phoenix,D000106,M098,Branch,1,144,8431.23,58,Engineer,0.021377663757245386,17,0,0,0,0
TX001998,AC00021,1142.83,2023-07-14 17:44:23,Credit,Omaha,D000493,M028,Branch,1,48,2467.39,61,Retired,0.46317363691998426,17,0,0,0,0
TX000459,AC00021,275.92,2023-09-18 18:47:52,Credit,Nashville,D000315,M042,Branch,1,107,1777.38,62,Retired,0.1552397348906818,18,0,0,0,0
TX001776,AC00021,486.61,2023-11-28 16:17:29,Credit,Sacramento,D000334,M047,ATM,1,130,2006.69,48,Engineer,0.24249385804484,16,0,0,0,0
TX002149,AC00021,734.86,2023-12-08 16:36:30,Credit,Boston,D000198,M075,Branch,1,290,6242.03,48,Engineer,0.11772772639670108,16,0,0,0,0
TX000078,AC00022,91.53,2023-03-13 16:32:12,Debit,Milwaukee,D000363,M095,Branch,1,69,14676.05,44,Doctor,0.006236691752889913,16,0,0,0,0
TX001771,AC00022,1.82,2023-04-13 17:35:38,Debit,San Francisco,D000652,M009,Online,1,60,5571.39,80,Retired,0.00032666892822078513,17,0,0,0,0
TX000584,AC00022,514.33,2023-06-02 16:27:08,Debit,Philadelphia,D000478,M017,Branch,1,160,1592.94,25,Student,0.3228809622459101,16,0,0,0,0
TX001053,AC00022,168.0,2023-08-24 16:01:40,Credit,Tucson,D000669,M053,Branch,1,11,3498.58,32,Engineer,0.048019482189917057,16,0,0,0,0
TX001358,AC00023,422.9,2023-02-27 16:15:53,Debit,Tucson,D000237,M027,ATM,1,111,7616.43,40,Engineer,0.05552470120515779,16,0,0,0,0
TX000670,AC00023,126.22,2023-05-04 16:25:15,Debit,Atlanta,D000094,M081,ATM,4,77,6133.41,46,Engineer,0.020579090587454614,16,0,1,1,0
TX001959,AC00023,59.73,2023-05-22 16:38:39,Debit,Fresno,D000681,M019,ATM,1,56,800.93,27,Student,0.07457580562595982,16,0,0,0,0
TX001719,AC00023,191.89,2023-06-27 16:37:04,Debit,San Antonio,D000004,M041,Branch,1,14,399.57,25,Student,0.4802412593538053,16,0,0,0,0
TX000271,AC00023,196.08,2023-08-25 16:52:28,Debit,San Francisco,D000623,M088,Online,1,98,4233.82,61,Retired,0.04631278608915826,16,0,0,0,0
TX000617,AC00023,254.92,2023-09-18 16:04:06,Credit,San Antonio,D000088,M064,ATM,1,169,2791.12,28,Engineer,0.09133251167989911,16,0,0,0,0
TX001471,AC00024,820.46,2023-04-03 16:22:48,Credit,Fort Worth,D000185,M041,Online,1,243,5621.86,53,Engineer,0.14594102307777143,16,0,0,0,0
TX001041,AC00024,84.89,2023-05-22 17:27:11,Debit,San Jose,D000618,M018,ATM,1,70,4735.61,37,Engineer,0.017925884944072677,17,0,0,0,0
TX001308,AC00024,28.78,2023-08-07 16:08:04,Credit,Tucson,D000041,M096,Online,1,51,680.55,40,Doctor,0.042289324810814787,16,0,0,0,0
TX002214,AC00024,423.53,2023-08-10 17:08:52,Credit,Kansas City,D000239,M025,Branch,1,81,5453.4,50,Doctor,0.07766347599662596,17,0,0,0,0
TX001387,AC00024,69.28,2023-10-30 16:36:24,Debit,Los Angeles,D000379,M070,Online,1,129,708.74,25,Student,0.09775093828484352,16,0,0,0,0
TX001807,AC00025,350.11,2023-03-13 17:10:34,Credit,Raleigh,D000510,M050,Online,1,178,4639.04,74,Retired,0.07547035593571084,17,0,0,0,0
TX001064,AC00025,65.26,2023-12-08 17:05:35,Debit,Sacramento,D000489,M026,Branch,1,72,7380.63,26,Student,0.008842063617875439,17,0,0,0,0
TX000283,AC00026,329.69,2023-01-09 16:54:30,Credit,San Antonio,D000278,M088,Online,1,66,1671.66,26,Student,0.1972231195338765,16,0,0,0,0
TX000638,AC00026,90.88,2023-02-20 16:48:49,Debit,Albuquerque,D000449,M071,Branch,1,176,3908.47,18,Student,0.023252065386199713,16,0,0,0,0
TX000698,AC00026,278.27,2023-04-10 16:47:55,Debit,Tucson,D000141,M027,Branch,1,123,6684.34,29,Doctor,0.041630138502829,16,0,0,0,0
TX000240,AC00026,66.5,2023-05-04 16:44:56,Credit,Louisville,D000419,M098,Online,1,144,6820.23,32,Engineer,0.009750404311878045,16,0,0,0,0
TX001513,AC00026,147.46,2023-10-12 16:58:25,Credit,Albuquerque,D000380,M071,Online,1,205,7458.03,65,Doctor,0.01977197731840714,16,0,0,0,0
TX001927,AC00026,39.31,2023-10-30 17:24:55,Debit,Portland,D000394,M053,Online,1,178,1236.38,25,Student,0.03179443213251589,17,0,0,0,0
TX000791,AC00027,262.06,2023-09-11 16:09:15,Debit,Oklahoma City,D000408,M029,Branch,1,118,13587.52,63,Doctor,0.01928681613716116,16,0,0,0,0
TX002377,AC00027,277.02,2023-11-13 16:16:48,Credit,Denver,D000561,M042,ATM,1,227,8586.38,46,Doctor,0.032262723056748016,16,0,0,0,0
TX001258,AC00027,18.46,2023-11-20 16:29:14,Debit,Charlotte,D000133,M032,Branch,1,213,6381.6,68,Retired,0.002892691488028081,16,0,0,0,0
TX001438,AC00028,107.48,2023-02-07 17:38:18,Debit,Los Angeles,D000624,M058,Branch,1,103,1379.39,20,Student,0.07791850020661306,17,0,0,0,0
TX001580,AC00028,398.36,2023-06-27 16:52:00,Debit,Columbus,D000022,M006,ATM,1,56,1863.7,22,Student,0.2137468476686162,16,0,0,0,0
TX002415,AC00028,1664.33,2023-09-25 17:11:19,Debit,San Antonio,D000072,M064,Branch,1,65,1588.31,18,Student,1.0478621931486927,17,0,0,0,0
TX001220,AC00029,129.48,2023-02-06 16:30:43,Debit,Seattle,D000315,M001,ATM,1,179,7581.7,31,Engineer,0.0170779640450031,16,0,0,0,0
TX000350,AC00029,11.18,2023-02-27 16:39:28,Debit,Miami,D000609,M035,ATM,1,144,7467.3,53,Engineer,0.0014971944344006533,16,0,0,0,0
TX001860,AC00029,116.97,2023-07-12 16:52:54,Debit,Oklahoma City,D000054,M041,ATM,1,299,729.7,18,Student,0.16029875291215567,16,0,0,0,0
TX000411,AC00029,390.35,2023-09-26 18:36:46,Credit,Omaha,D000274,M019,ATM,1,61,7095.88,64,Doctor,0.055010794996533205,18,0,0,0,0
TX000772,AC00029,101.19,2023-11-29 18:38:41,Credit,Denver,D000524,M033,Online,1,75,14389.45,64,Doctor,0.007032235422479664,18,0,0,0,0
TX002087,AC00029,1192.95,2023-12-04 18:30:00,Debit,Las Vegas,D000227,M068,Branch,1,73,325.15,23,Student,3.6689220359833925,18,0,1,1,0
TX001347,AC00030,520.86,2023-03-20 16:29:02,Credit,Sacramento,D000309,M017,Online,1,66,9200.74,51,Engineer,0.05661066392485822,16,0,0,0,0
TX001474,AC00030,384.41,2023-04-17 16:53:29,Debit,Jacksonville,D000289,M093,ATM,1,65,7831.56,60,Engineer,0.0490847289684303,16,0,0,0,0
TX001920,AC00030,76.89,2023-05-10 17:49:57,Debit,Chicago,D000671,M011,ATM,1,132,7374.26,55,Doctor,0.010426808927268634,17,0,0,0,0
TX002498,AC00030,348.17,2023-05-10 17:56:31,Debit,El Paso,D000269,M072,ATM,1,181,1887.84,21,Student,0.1844277057377744,17,0,0,0,0
TX001785,AC00030,251.4,2023-07-05 16:52:09,Debit,Tucson,D000502,M023,ATM,1,178,2561.67,57,Retired,0.09813910456850414,16,0,0,0,0
TX000702,AC00030,211.1,2023-09-14 16:58:48,Debit,Miami,D000653,M070,Branch,1,136,7059.77,57,Retired,0.029901823997099054,16,0,0,0,0
TX000781,AC00030,456.93,2023-09-26 16:18:33,Credit,Virginia Beach,D000587,M006,Branch,1,193,7284.76,28,Engineer,0.06272409797989227,16,0,0,0,0
TX001616,AC00030,363.84,2023-10-19 17:41:40,Debit,Columbus,D000069,M048,Online,3,118,5415.64,73,Retired,0.06718319533794712,17,0,1,1,0
TX000560,AC00030,356.1,2023-10-25 16:13:39,Credit,Fort Worth,D000441,M043,Branch,1,187,868.35,26,Student,0.4100880981171187,16,0,0,0,0
TX002368,AC00032,239.85,2023-01-26 16:17:52,Debit,Tucson,D000001,M047,ATM,1,50,1477.63,70,Retired,0.16232074335253072,16,0,0,0,0
